iter	Passed	Remaining
399	38542	57814
400	38643	57723
401	38738	57626
402	38833	57526
403	38926	57425
404	39013	57316
405	39104	57212
406	39203	57119
407	39312	57041
408	39410	56948
409	39503	56846
410	39599	56749
411	39695	56653
412	39793	56558
413	39898	56474
414	39997	56381
415	40093	56284
416	40189	56187
417	40297	56108
418	40388	56003
419	40482	55904
420	40580	55809
421	40671	55706
422	40765	55607
423	40858	55506
424	40959	55415
425	41047	55308
426	41138	55205
427	41238	55112
428	41344	55029
429	41446	54940
430	41543	54844
431	41634	54741
432	41733	54648
433	41829	54552
434	41926	54455
435	42022	54359
436	42109	54251
437	42202	54149
438	42300	54055
439	42398	53962
440	42484	53852
441	42584	53760
442	42679	53661
443	42776	53567
444	42872	53469
445	42965	53370
446	43069	53282
447	43171	53193
448	43266	53095
449	43367	53004
450	43467	52912
451	43562	52814
452	43655	52714
453	43748	52613
454	43842	52514
455	43937	52416
456	44029	52314
457	44124	52217
458	44221	52121
459	44327	52036
460	44430	51947
461	44520	51844
462	44606	51736
463	44703	51640
464	44800	51544
465	44902	51455
466	45009	51370
467	45110	51279
468	45203	51178
469	45300	51083
470	45410	51002
471	45509	50909
472	45597	50802
473	45689	50702
474	45790	50610
475	45891	50519
476	45986	50421
477	46082	50324
478	46186	50236
479	46286	50143
480	46397	50062
481	46484	49956
482	46582	49861
483	46680	49767
484	46774	49667
485	46870	49571
486	46966	49474
487	47066	49381
488	47159	49281
489	47251	49179
490	47349	49085
491	47456	49000
492	47545	48896
493	47642	48799
494	47744	48709
495	47847	48619
496	47936	48515
497	48032	48418
498	48123	48315
499	48223	48223
500	48321	48128
501	48427	48041
502	48535	47957
503	48631	47859
504	48720	47755
505	48809	47651
506	48908	47557
507	49005	47462
508	49106	47369
509	49196	47266
510	49287	47165
511	49380	47065
512	49481	46973
513	49585	46884
514	49677	46783
515	49779	46691
516	49882	46601
517	49974	46501
518	50068	46402
519	50156	46298
520	50252	46201
521	50349	46105
522	50456	46018
523	50553	45922
524	50650	45826
525	50747	45730
526	50840	45631
527	50944	45541
528	51047	45450
529	51148	45358
530	51238	45255
531	51337	45161
532	51429	45060
533	51542	44979
534	51638	44882
535	51730	44781
536	51830	44687
537	51948	44610
538	52052	44519
539	52144	44419
540	52245	44326
541	52341	44229
542	52435	44130
543	52539	44040
544	52631	43940
545	52726	43842
546	52820	43743
547	52929	43657
548	53029	43563
549	53126	43466
550	53219	43367
551	53312	43268
552	53398	43162
553	53510	43078
554	53607	42982
555	53697	42881
556	53790	42780
557	53878	42677
558	53979	42584
559	54076	42488
560	54166	42387
561	54264	42291
562	54374	42205
563	54473	42110
564	54614	42048
565	54713	41953
566	54799	41848
567	54899	41754
568	54996	41657
569	55091	41560
570	55190	41465
571	55282	41365
572	55375	41265
573	55468	41166
574	55568	41072
575	55655	40968
576	55742	40865
577	55843	40771
578	55948	40681
579	56054	40590
580	56149	40493
581	56236	40389
582	56352	40307
583	56447	40209
584	56542	40111
585	56666	40033
586	56758	39934
587	56855	39837
588	56946	39736
589	57044	39640
590	57138	39542
591	57231	39443
592	57330	39348
593	57424	39249
594	57502	39140
595	57608	39050
596	57694	38945
597	57787	38847
598	57885	38751
599	57984	38656
600	58086	38563
601	58184	38467
602	58282	38371
603	58374	38271
604	58473	38176
605	58567	38078
606	58675	37989
607	58774	37894
608	58881	37804
609	58975	37705
610	59057	37599
611	59154	37503
612	59265	37415
613	59359	37317
614	59464	37225
615	59559	37127
616	59664	37036
617	59767	36943
618	59862	36845
619	59952	36745
620	60046	36646
621	60143	36550
622	60228	36446
623	60328	36351
624	60433	36259
625	60527	36161
626	60613	36058
627	60726	35971
628	60813	35869
629	60907	35770
630	61003	35674
631	61109	35583
632	61211	35489
633	61311	35394
634	61405	35296
635	61504	35200
636	61593	35099
637	61706	35012
638	61804	34916
639	61890	34813
640	61978	34711
641	62072	34613
642	62159	34511
643	62258	34416
644	62357	34320
645	62452	34223
646	62551	34127
647	62648	34031
648	62755	33940
649	62853	33843
650	62952	33748
651	63050	33652
652	63173	33570
653	63267	33471
654	63370	33378
655	63467	33281
656	63564	33185
657	63654	33084
658	63760	32992
659	63872	32904
660	63973	32809
661	64076	32715
662	64176	32620
663	64258	32516
664	64364	32424
665	64464	32329
666	64631	32267
667	64749	32181
668	64858	32090
669	64965	31997
670	65076	31907
671	65174	31811
672	65275	31716
673	65368	31617
674	65459	31517
675	65563	31424
